Agent,layout,depth,average score,average turn time
ReflexAgent,minimaxClassic,2,81.57142857142857,0.00011518894871794148
ReflexAgent,trappedClassic,2,-501.7142857142857,0.00010243558333332867
ReflexAgent,testClassic,2,543.4285714285714,0.00015972661718750185
ReflexAgent,smallClassic,2,-226.28571428571428,0.0002088673348017583
ReflexAgent,originalClassic,2,387.57142857142856,0.0003037075374955225
ReflexAgent,openClassic,2,473.85714285714283,0.000304964020103402
ReflexAgent,mediumClassic,2,118.85714285714286,0.00019532768113776592
ReflexAgent,contestClassic,2,68.0,0.0001699218988684471
ReflexAgent,trickyClassic,2,-60.0,0.0002079926027027268
ReflexAgent,capsuleClassic,2,-490.85714285714283,0.0001633036605504874
